kalshi_ticker,kalshi_title,polymarket_condition_id,polymarket_slug,polymarket_question,similarity_score,category,kalshi_category,polymarket_category,expiry_date,kalshi_expiry,polymarket_expiry,status,allow_auto_trade,resolution_match_status
KXBILLS-DRIVE,"Will legislation that preempts state and local autonomous vehicle laws by establishing a unified federal regulatory framework for the testing and deployment of vehicles equipped with automated driving systems become law before Jan 1, 2027?",0x58d735c94571661e7819362dc457b44062b6623e8cb018bb5ca5a52bffe5f897,will-the-self-drive-act-become-law-this-year,Will the SELF DRIVE Act become law this year?,0.7004,self,,self,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXBILLS-HOUS,"Will legislation that would revise federal housing programs to increase housing supply and affordability by expanding federal financing and grant authority for affordable housing and streamlining federal requirements that delay housing development become law before Jan 1, 2027?",0x28d6d12eac68223138afb976332da144b44a3ebcf71960b8a0efe4f21f4521c2,will-the-housing-for-the-21st-century-act-become-law-this-year,Will the Housing for the 21st Century Act become law this year?,0.6923,housing,,housing,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26LACOLR1-LA43,Will Los Angeles Kings win 4-3 in the Los Angeles Kings vs Colorado Avalanche 1st Round series in the 2026 NHL playoffs?,0x00cd5f773aa7040a76af5c6d3b0ab3a412b369d0c0539661c96d03318ecc101f,nhl-playoffs-who-will-win-series-avalanche-vs-kings,NHL Playoffs: Who Will Win Series? - Avalanche vs. Kings ,0.5436,,,,2026-05-17,2026-05-17,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26UTAVGK1ST-VGK43,Will Vegas Golden Knights win 4-3 in the Utah Mammoth vs Vegas Golden Knights 1st Round series in the 2026 NHL playoffs?,0x7a6b234c38988fa12fbe10ce8a255bf2eec249ee707f163e145fb26981726e81,nhl-playoffs-who-will-win-series-mammoth-vs-golden-knights,NHL Playoffs: Who Will Win Series? - Mammoth vs. Golden Knights ,0.5385,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26ANAEDMR1-EDM43,Will Edmonton Oilers win 4-3 in the Anaheim Ducks vs Edmonton Oilers 1st Round series in the 2026 NHL playoffs?,0xe76c96f5e64b5306ff2831fcfc26bbc9e14f550d3084d8fcad75191e2061526a,nhl-playoffs-who-will-win-series-ducks-vs-oilers,NHL Playoffs: Who Will Win Series? - Ducks vs. Oilers ,0.52,,,,2026-05-19,2026-05-19,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26MINDALR1-MIN43,Will Minnesota Wild win 4-3 in the Minnesota Wild vs Dallas Stars 1st Round series in the 2026 NHL playoffs?,0x1a6f9fce14d84886cc433691b36e4efc0f1f13be6fa8b595c8189006b62d7e76,nhl-playoffs-who-will-win-series-wild-vs-stars,NHL Playoffs: Who Will Win Series? - Wild vs. Stars ,0.52,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26BOSBUFR1-BUF43,Will Buffalo Sabres win 4-3 in the Boston Bruins vs Buffalo Sabres 1st Round series in the 2026 NHL playoffs?,0xb184753e4d72152316f64038e50f0d0580cc546a7c2497e517c1e190e5b326bc,nhl-playoffs-who-will-win-series-sabres-vs-bruins,NHL Playoffs: Who Will Win Series? - Sabres vs. Bruins ,0.52,,,,2026-05-17,2026-05-17,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26MTLTBR1-TB43,Will Tampa Bay Lightning win 4-3 in the Montreal Canadiens vs Tampa Bay Lightning 1st Round series in the 2026 NHL playoffs?,0x41c3c7bf8412216091308ca8e2935a819cc1ecf585f7f14a359d3431949546db,nhl-playoffs-who-will-win-series-canadiens-vs-lightning,NHL Playoffs: Who Will Win Series? - Canadiens vs. Lightning ,0.5,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESSCORE-26OTTCARR1-OTT43,Will Ottawa Senators win 4-3 in the Ottawa Senators vs Carolina Hurricanes 1st Round series in the 2026 NHL playoffs?,0x5d23c0cf3046d603c6aa2d19a728c309efe5ad456603db2ed4bc8a15d7f40201,nhl-playoffs-who-will-win-series-hurricanes-vs-senators,NHL Playoffs: Who Will Win Series? - Hurricanes vs. Senators ,0.5,,,,2026-05-16,2026-05-16,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26MTLTBR1-6,Will there be over 5.5 total games in the Montreal Canadiens vs Tampa Bay Lightning 1st Round series in the 2026 NHL playoffs?,0xf6f1489fa180e25051b357a9f4f745b9f00f467ba71703bd74db662fd2c5a33d,nhl-playoffs-canadiens-vs-lightning-total-games-ou-5pt5,NHL Playoffs: Canadiens vs. Lightning Total Games O/U 5.5,0.4667,,,,2026-05-16,2026-05-16,2026-06-01,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26UTAVGKR1-6,Will there be over 5.5 total games in the Utah Mammoth vs Vegas Golden Knights 1st Round series in the 2026 NHL playoffs?,0xf651db307e65e87a09debd6ad44ad43cd586e0b1398bc2002bf9d59f1ed863ff,nhl-playoffs-mammoth-vs-golden-knights-total-games-ou-5pt5,NHL Playoffs: Mammoth vs. Golden Knights Total Games O/U 5.5,0.4583,,,,2026-05-17,2026-05-17,2026-05-04,confirmed,False,pending_operator_review
KXBILLS-AIO,"Will legislation that subjects covered AI-chip exports to mandatory congressional review with a statutory blocking period become law before Jan 1, 2027?",0xc2a2b9fb879765ecec9e738cb07ce913c379449d6b046e50bce4f9625ddd2e30,will-ai-chip-export-licensing-become-law-this-year,Will AI-chip export licensing become law this year?,0.4545,ai,,ai,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXNHLSERIESSPREAD-26PHIPITR1-PIT2,Will Pittsburgh Penguins cover -1.5 games in the Philadelphia Flyers vs Pittsburgh Penguins 1st Round series in the 2026 NHL playoffs?,0x4590bcf38b1f2c4c8af6ca07c698f3e400e141d415793ca91e09ec0a5c698a82,nhl-playoffs-who-will-win-series-penguins-vs-flyers,NHL Playoffs: Who Will Win Series? - Penguins vs. Flyers ,0.4532,,,,2026-05-17,2026-05-17,2026-05-04,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-CRY,Will Crystal Palace be Relegated from English Premier League in 2025-26 Season?,0xf651a32843a38a41399a951ce4adf6b309e8b73c5293db0137b14dce72863e90,will-crystal-palace-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Crystal Palace be relegated from the English Premier League after the 2025–26 season?,0.4485,crystal,,crystal,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26OTTCARR1-6,Will there be over 5.5 total games in the Ottawa Senators vs Carolina Hurricanes 1st Round series in the 2026 NHL playoffs?,0x4692d2f3db931a57ee4f74f2b4a6af6218523f3c81e0715383c5729be8a98b72,nhl-playoffs-hurricanes-vs-senators-total-games-ou-5pt5,NHL Playoffs: Hurricanes vs. Senators Total Games O/U 5.5,0.4417,,,,2026-05-16,2026-05-16,2026-06-01,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26PHIPITR1-6,Will there be over 5.5 total games in the Philadelphia Flyers vs Pittsburgh Penguins 1st Round series in the 2026 NHL playoffs?,0x43b6f67e7980e2c628b4b195d77af788fc7bfe574c8ace3f39c61efabc02286a,nhl-playoffs-penguins-vs-flyers-total-games-ou-5pt5,NHL Playoffs: Penguins vs. Flyers Total Games O/U 5.5,0.4417,,,,2026-05-17,2026-05-17,2026-06-01,confirmed,False,pending_operator_review
KXNBAPIADVANCE-26CF-1,Will any play-in team advance to the Conference Finals of the 2026 Pro Basketball Playoffs?,0x002aedcbe19a776e1310474a3315a9eca6bb57196481cd4f1965c3ae0e1beb1a,will-boston-celtics-advance-to-the-conference-finals-in-the-2026-nba-playoffs,Will Boston Celtics advance to the Conference Finals in the 2026 NBA Playoffs?,0.4375,boston,,boston,2026-05-30,2026-05-30,2026-05-24,confirmed,False,pending_operator_review
KXEPLTOP6-26-CRY,Will Crystal Palace finish in the top 6 in the 2025-26 English Premier League season?,0x626ca2b70ef35d3fa1c9f7085890cfca15c4eadfef4144cdef76c7084f8e345d,will-crystal-palace-finish-in-the-top-4-of-the-epl-202526-standings,Will Crystal Palace finish in the top 4 of the EPL 2025–26 standings?,0.4364,crystal,,crystal,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26ANAEDMR1-6,Will there be over 5.5 total games in the Anaheim Ducks vs Edmonton Oilers 1st Round series in the 2026 NHL playoffs?,0x5927d0fd9db42f4d165e7b575d60a4f3d8f60c4958ee36b03cf4e8f36caa2aa5,nhl-playoffs-ducks-vs-oilers-total-games-ou-5pt5,NHL Playoffs: Ducks vs. Oilers Total Games O/U 5.5,0.4338,,,,2026-05-19,2026-05-19,2026-05-04,confirmed,False,pending_operator_review
KXNHLSERIESGAMES-26BOSBUFR1-6,Will there be over 5.5 total games in the Boston Bruins vs Buffalo Sabres 1st Round series in the 2026 NHL playoffs?,0x01eec0550ff726f57236bd71ee5b4830da962ad0a4534fb9451b6c9fe1deea3f,nhl-playoffs-bruins-vs-sabres-total-games-ou-5pt5,NHL Playoffs: Bruins vs. Sabres Total Games O/U 5.5,0.4338,,,,2026-05-16,2026-05-16,,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-WHU,Will West Ham be Relegated from English Premier League in 2025-26 Season?,0x017099b71b4754c6f7ee6e78492d138270294db1bc520d970eaab83192e12a39,will-west-ham-be-relegated-from-the-english-premier-league-after-the-202526-season,Will West Ham be relegated from the English Premier League after the 2025–26 season?,0.43,west,,west,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLTOP6-26-AVL,Will Aston Villa finish in the top 6 in the 2025-26 English Premier League season?,0xf4e3ed7607fd945a06ab045076f808e9fe6488fed1d56b924b7eb6836fdf9d1f,will-aston-villa-finish-in-the-top-4-of-the-epl-202526-standings,Will Aston Villa finish in the top 4 of the EPL 2025–26 standings?,0.4299,aston,,aston,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXFRAUD2020-27,"Will any federal or state court rule finds that fraud, fraudulent conduct, or illegal manipulation of ballots or vote counts occurred in connection with the 2020 U.S. presidential election in one or more states?",0xda3ef046c470321eab987fcd92c61a1b50c75f899ccbeabf4c7e08bff111014f,will-a-us-court-rule-that-the-2020-election-was-fradulent,Will a US court rule that the 2020 election was fradulent?,0.4286,,,,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXBILLS-250C,"Will legislation that would require Treasury to mint and issue $2.50 coins to mark America’s 250th anniversary become law before Jan 1, 2027?",0xe73ed5d9cc758f69483433d2a3b063626c23bb2647dacedcd6a2dc04fad2e2a6,will-2pt50-coin-become-law-this-year,Will $2.50 Coin become law this year?,0.4263,2,,2,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXTOPSONG-26MAY02-BEA,"Will Beauty and a Beat be #1 on the Billboard Hot 100 during the week of May 2, 2026",0xb0fcf59916b5fa52eab00f6384f7e3bddf31182946086eb0c9bc785a397e1c3b,will-beauty-and-a-beat-justin-bieber-nicki-minaj-be-the-billboard-hot-100-1-song-for-the-week-of-may-2,"Will ""Beauty and a Beat - Justin Bieber, Nicki Minaj"" be the Billboard Hot 100 #1 song for the week of May 2?",0.425,beauty,,beauty,2026-04-27,2026-04-27,2026-05-02,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-SUN,Will Sunderland be Relegated from English Premier League in 2025-26 Season?,0xaf01b1ada86216a09a784fc3b33a8ea5fbd670654e761d4e1ffbab260a918fbf,will-sunderland-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Sunderland be relegated from the English Premier League after the 2025–26 season?,0.425,sunderland,,sunderland,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-LEE,Will Leeds be Relegated from English Premier League in 2025-26 Season?,0xd71f77a4e2b40e90370c53bb7766f7ede7ae8cbce7f66c619b818ddc8c345b4f,will-leeds-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Leeds be relegated from the English Premier League after the 2025–26 season?,0.425,leeds,,leeds,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXLALIGATOP4-26-RSO,Will Real Sociedad finish in the top 4 in the 2025-26 La Liga season?,0xec3536934fc4072b6ec4f95541002b893a7e64193d89058a50b1300733d0577a,will-real-sociedad-finish-in-the-top-4-of-the-la-liga-202526-standings,Will Real Sociedad finish in the top 4 of the La Liga 2025–26 standings?,0.4221,real,,real,2026-05-25,2026-05-25,2026-05-30,confirmed,False,pending_operator_review
KXLALIGATOP4-26-ATM,Will Atletico Madrid finish in the top 4 in the 2025-26 La Liga season?,0xa38d137a148c4b1ec0e5a5bce42e130391bcc8086f93b4a42fb93870456fc720,will-atletico-madrid-finish-in-the-top-4-of-the-la-liga-202526-standings,Will Atletico Madrid finish in the top 4 of the La Liga 2025–26 standings?,0.4221,atletico,,atletico,2026-05-25,2026-05-25,2026-05-30,confirmed,False,pending_operator_review
KXLALIGATOP4-26-ATH,Will Athletic Bilbao finish in the top 4 in the 2025-26 La Liga season?,0x3906ccd196f47f9cd177602071c3147a4b916ab60b1e317d5439c54fb520187d,will-athletic-bilbao-finish-in-the-top-4-of-the-la-liga-202526-standings,Will Athletic Bilbao finish in the top 4 of the La Liga 2025–26 standings?,0.4221,athletic,,athletic,2026-05-25,2026-05-25,2026-05-30,confirmed,False,pending_operator_review
KXBILLS-DATA,"Will legislation that prohibits data center power usage from increasing consumers' electric utility bills become law before Jan 1, 2027?",0xbcf92dd69e289a4bce83a086363bc7deeae3f8d3f0370e8f4b02cffdc7ac8b7e,will-data-center-utility-cost-protection-become-law-this-year,Will Data center utility cost protection become law this year?,0.4164,data,,data,2027-01-01,2027-01-01,2026-12-31,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-TOT,Will Tottenham be Relegated from English Premier League in 2025-26 Season?,0xcf4e906f66624d33c81e310072d26528209ce544fe641fd2835607c0f1c63417,will-tottenham-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Tottenham be relegated from the English Premier League after the 2025–26 season?,0.4155,tottenham,,tottenham,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-NEW,Will Newcastle be Relegated from English Premier League in 2025-26 Season?,0x000ad402ae645de41d4bc23198cd4c84d6e38ab2c007995031c320248e2d55c8,will-newcastle-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Newcastle be relegated from the English Premier League after the 2025–26 season?,0.4155,newcastle,,newcastle,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXLALIGATOP4-26-RCC,Will Celta Vigo finish in the top 4 in the 2025-26 La Liga season?,0xf20f7af3ea74b16d623af198d6efb27d9d4ee98cfa96b1b6c8d4021d55436eb0,will-celta-vigo-finish-in-the-top-4-of-the-la-liga-202526-standings,Will Celta Vigo finish in the top 4 of the La Liga 2025–26 standings?,0.4131,celta,,celta,2026-05-25,2026-05-25,2026-05-30,confirmed,False,pending_operator_review
KXALBUMDEBUT-26JUN27-YOU,Will Olivia Rodrigo's 'you seem pretty sad for a girl so in love' debut at #1,0xa0de46b27ad846a9e1085a8d2e81fc71c593187086864b769c0f62d3909511d5,will-you-seem-pretty-sad-for-a-girl-so-in-love-olivia-rodrigo-debut-week-album-sales-be-at-least-450k,"Will ""you seem pretty sad for a girl so in love"" - Olivia Rodrigo debut week album sales be at least 450k?",0.4118,450k,,450k,2026-06-22,2026-06-22,2026-06-19,confirmed,False,pending_operator_review
KXVENEZUELALEADER-26DEC31-DRON,"Will Diosdado Cabello Rondón be the head of state of Venezuela on Dec 31, 2026?",0xd46931250308613b38c1fdad5cfeaeaae05818bc445668ad4629f12e92aac690,will-diosdado-cabello-rondn-be-the-leader-of-venezuela-end-of-2026,Will Diosdado Cabello Rondón be the leader of Venezuela end of 2026?,0.4086,diosdado,,diosdado,2026-12-31,2026-12-31,2026-12-31,confirmed,False,pending_operator_review
KXVENEZUELALEADER-26DEC31-VLOP,"Will Vladimir Padrino López be the head of state of Venezuela on Dec 31, 2026?",0xbe63107b6f2952cab6bff292332b1574d5f70323a5a830bdc7e6129ab3c3960d,will-vladimir-padrino-lpez-be-the-leader-of-venezuela-end-of-2026,Will Vladimir Padrino López be the leader of Venezuela end of 2026?,0.4086,vladimir,,vladimir,2026-12-31,2026-12-31,2026-12-31,confirmed,False,pending_operator_review
KXVENEZUELALEADER-26DEC31-MCM,"Will María Corina Machado be the head of state of Venezuela on Dec 31, 2026?",0x70187b4770796788b9d1f3fc6652c596870a9a837b96c832441652588f26029d,will-mara-corina-machado-be-the-leader-of-venezuela-end-of-2026,Will María Corina Machado be the leader of Venezuela end of 2026?,0.4086,mar,,mar,2026-12-31,2026-12-31,2026-12-31,confirmed,False,pending_operator_review
KXEPLTOP6-26-SUN,Will Sunderland finish in the top 6 in the 2025-26 English Premier League season?,0xd421174de41f28edda2048b0434c907812682845378a0e54972fb4c7f464d2c5,will-sunderland-finish-in-the-top-4-of-the-epl-202526-standings,Will Sunderland finish in the top 4 of the EPL 2025–26 standings?,0.4086,sunderland,,sunderland,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLTOP6-26-LFC,Will Liverpool finish in the top 6 in the 2025-26 English Premier League season?,0x11a8cc3ed975d554331e153d3dd2b8fab52b3ecab40f9f1064683b32de4fad47,will-liverpool-finish-in-the-top-4-of-the-epl-202526-standings,Will Liverpool finish in the top 4 of the EPL 2025–26 standings?,0.4086,liverpool,,liverpool,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLTOP6-26-FUL,Will Fulham finish in the top 6 in the 2025-26 English Premier League season?,0xdc3571c0c985f287ba21ec312320633dbf6c433b1026f6e2cbf76591296f6d95,will-fulham-finish-in-the-top-4-of-the-epl-202526-standings,Will Fulham finish in the top 4 of the EPL 2025–26 standings?,0.4086,fulham,,fulham,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLTOP6-26-BRI,Will Brighton finish in the top 6 in the 2025-26 English Premier League season?,0xbf41a9bb4cce63bcea7bc1f67f0f110fbf35a389a636d1a835e04ab511800d3d,will-brighton-finish-in-the-top-4-of-the-epl-202526-standings,Will Brighton finish in the top 4 of the EPL 2025–26 standings?,0.4086,brighton,,brighton,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLTOP6-26-BRE,Will Brentford finish in the top 6 in the 2025-26 English Premier League season?,0x13074e14d2d57c105409e27ebaad6aa8753dfab27862ca6b8104f9675072d4df,will-brentford-finish-in-the-top-4-of-the-epl-202526-standings,Will Brentford finish in the top 4 of the EPL 2025–26 standings?,0.4086,brentford,,brentford,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLTOP6-26-BOU,Will Bournemouth finish in the top 6 in the 2025-26 English Premier League season?,0x9bc03e3cc357ac0433bd4a3958bfd8bfb748ac1e80bbf1c2db4feafc89c69f96,will-bournemouth-finish-in-the-top-4-of-the-epl-202526-standings,Will Bournemouth finish in the top 4 of the EPL 2025–26 standings?,0.4086,bournemouth,,bournemouth,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-FUL,Will Fulham be Relegated from English Premier League in 2025-26 Season?,0x7f4ef814336a3bc7b136a9ad512a961709ad622e71a3ef13f97cd05b1ab4224c,will-fulham-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Fulham be relegated from the English Premier League after the 2025–26 season?,0.4067,fulham,,fulham,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXEPLRELEGATION-26-BUR,Will Burnley be Relegated from English Premier League in 2025-26 Season?,0x452e20d1071741f6895759aa298380fbb7fecb46fd10c20c4e2b13d86fbb67c6,will-burnley-be-relegated-from-the-english-premier-league-after-the-202526-season,Will Burnley be relegated from the English Premier League after the 2025–26 season?,0.4067,burnley,,burnley,2026-05-25,2026-05-25,2026-05-27,confirmed,False,pending_operator_review
KXNBAPIADVANCE-26R2-1,Will any play-in team advance to the Conference Semifinals of the 2026 Pro Basketball Playoffs?,0x86d810a30ebb77e1634a3a3072fac19155275aba3880d919e2a6011a7e6cde14,will-detroit-pistons-advance-to-the-conference-semifinals-in-the-2026-nba-playoffs,Will Detroit Pistons advance to the Conference Semifinals in the 2026 NBA Playoffs?,0.4062,detroit,,detroit,2026-05-16,2026-05-16,2026-05-03,confirmed,False,pending_operator_review
KXBUNDESLIGATOP4-26-VFB,Will Stuttgart finish in the top 4 in the 2025-26 Bundesliga season?,0x8ff61811cb593a37da148a8697e00af320c929bdfddce930e58cca21e8d8f721,will-stuttgart-finish-in-the-top-4-of-the-bundesliga-202526-standings,Will Stuttgart finish in the top 4 of the Bundesliga 2025–26 standings?,0.4004,stuttgart,,stuttgart,2026-05-17,2026-05-17,2026-05-28,confirmed,False,pending_operator_review
KXBUNDESLIGATOP4-26-TSG,Will Hoffenheim finish in the top 4 in the 2025-26 Bundesliga season?,0x1bde71ad84a6ff83821156582e2367d4eab7b3d8e22f21cb65c61f2aaced93d5,will-hoffenheim-finish-in-the-top-4-of-the-bundesliga-202526-standings,Will Hoffenheim finish in the top 4 of the Bundesliga 2025–26 standings?,0.4004,hoffenheim,,hoffenheim,2026-05-17,2026-05-17,2026-05-28,confirmed,False,pending_operator_review
KXBUNDESLIGATOP4-26-LEV,Will Leverkusen finish in the top 4 in the 2025-26 Bundesliga season?,0xf0b9e05dab54864fc496d3cb28a9694f125c21ac6a4d44a97cf02058310523b0,will-leverkusen-finish-in-the-top-4-of-the-bundesliga-202526-standings,Will Leverkusen finish in the top 4 of the Bundesliga 2025–26 standings?,0.4004,leverkusen,,leverkusen,2026-05-17,2026-05-17,2026-05-28,confirmed,False,pending_operator_review
KXSENATENHD-26-KMAN,Will Karishma Manzur be the Democratic nominee for the Senate in New Hampshire?,0x1cf96ff28b0fa76e23f12a0cf299fc3bced8b26e0addfc1ef11fb58347c0216e,will-karishma-manzur-be-the-democratic-nominee-for-senate-in-new-hampshire,Will Karishma Manzur be the Democratic nominee for Senate in New Hampshire?,0.4,karishma,,karishma,2026-11-03,2026-11-03,2026-09-08,confirmed,False,pending_operator_review
KXSENATENHR-26-JSUN,Will John E. Sununu be the Republican nominee for the Senate in New Hampshire?,0x61c4f9b8b29569661a926fbbf35d8fd9c29f4a49c7d9652e63e8c36635af7e90,will-john-e-sununu-be-the-republican-nominee-for-senate-in-new-hampshire,Will John E. Sununu be the Republican nominee for Senate in New Hampshire?,0.4,john,,john,2026-11-03,2026-11-03,2026-09-08,confirmed,False,pending_operator_review
KXSENATERIR-26-RMCK,Will Raymond McKay be the Republican nominee for the Senate in Rhode Island?,0x8d3fa7e5d7ec4d8e7e39c9406713aa76b2b1cc3006d5ee046cb1d66cad8e02d6,will-raymond-mckay-be-the-republican-nominee-for-senate-in-rhode-island,Will Raymond McKay be the Republican nominee for Senate in Rhode Island?,0.4,raymond,,raymond,2026-11-03,2026-11-03,2026-09-08,confirmed,False,pending_operator_review
KXSENATENHD-26-CPAP,Will Chris Pappas be the Democratic nominee for the Senate in New Hampshire?,0xf78be595172a9db8c6323e1927aa44b2fa2d52805d97bf4a9664593b42326534,will-chris-pappas-be-the-democratic-nominee-for-senate-in-new-hampshire,Will Chris Pappas be the Democratic nominee for Senate in New Hampshire?,0.4,chris,,chris,2026-11-03,2026-11-03,2026-09-08,confirmed,False,pending_operator_review
KXSENATENHR-26-SB,Will Scott Brown be the Republican nominee for the Senate in New Hampshire?,0x9156f27ce7f4eccae5ff2d7b952c50b8c6b0b5be2abc60b6b3ecd200d003d735,will-scott-brown-be-the-republican-nominee-for-senate-in-new-hampshire-648,Will Scott Brown be the Republican nominee for Senate in New Hampshire?,0.4,scott,,scott,2026-11-03,2026-11-03,2026-09-08,confirmed,False,pending_operator_review
KXSENATENHR-26-CS,Will Chris Sununu be the Republican nominee for the Senate in New Hampshire?,0x93be8e2116af5a2f777681e5684e6da0cfb76f6a7aba3ddda014ab500c2beb9a,will-chris-sununu-be-the-republican-nominee-for-senate-in-new-hampshire,Will Chris Sununu be the Republican nominee for Senate in New Hampshire?,0.4,chris,,chris,2026-11-03,2026-11-03,2026-09-08,confirmed,False,pending_operator_review
